state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
Delaware,75987,661193,0.114924084193269,23,109,0.211009174311927,23.0,1.0,0.0,0.0,30.2683353731559,14.6956798118953,2008
Florida*,1655847,14266412,0.116066113890444,631,2740,0.23029197080292,,0.0,,0.0,38.1073855253535,16.7240722362559,2008
Georgia,709363,7082157,0.10016199866792,192,981,0.195718654434251,,0.0,,0.0,27.0665371608048,12.3807548149211,2008
Hawaii,106372,959788,0.110828641324959,20,133,0.150375939849624,,0.0,,0.0,18.8019403602452,13.2409047873487,2008
Idaho,135394,1105360,0.12248860099877,75,252,0.297619047619048,74.0,0.986666666666667,1.0,0.013333333333333,55.3938874691641,18.2480623032148,2008
Illinois,782182,9701259,0.080626854720609,229,1198,0.191151919866444,,0.0,,0.0,29.2770736222516,10.864352892121,2008
Indiana,486149,4787570,0.101543998312296,184,809,0.227441285537701,180.0,0.978260869565217,4.0,0.021739130434783,37.8484785528717,14.5300820356808,2008
Iowa,245912,2290057,0.107382479999406,74,380,0.194736842105263,,0.0,,0.0,30.0920654543089,14.9695838602447,2008
Kansas,231810,2084264,0.111219116196413,74,337,0.219584569732938,73.0,0.986486486486486,1.0,0.013513513513514,31.9226953108149,14.1973835787555,2008
Kentucky,329768,3242747,0.101694026700202,51,612,0.083333333333333,,0.0,,0.0,15.4654181121273,19.2586352321798,2008
Louisiana,304756,3287010,0.092715264024144,97,532,0.182330827067669,,0.0,,0.0,31.8287416818701,14.5862827244091,2008
Maine,136533,1038090,0.131523278328469,44,181,0.243093922651934,,0.0,,0.0,32.2266411783232,15.1959332576864,2008
Maryland,445742,4265690,0.104494700740091,92,507,0.181459566074951,,0.0,,0.0,20.6397422724356,10.8640222327634,2008
Massachusetts,422508,5062590,0.083456886692385,48,509,0.094302554027505,48.0,1.0,0.0,0.0,11.360731631117,9.93516924916413,2008
Michigan,720840,7603028,0.094809594282699,224,1180,0.189830508474576,219.0,0.977678571428571,5.0,0.022321428571429,31.0748571111481,13.8909311980434,2008
Minnesota,391485,3966540,0.098696849143082,110,596,0.184563758389262,109.0,0.990909090909091,1.0,0.009090909090909,28.0981391368763,13.5941964529217,2008
Mississippi,209831,2158203,0.097224867169585,81,409,0.198044009779951,81.0,1.0,0.0,0.0,38.6024943883411,16.8345675261192,2008
Missouri***,508839,4469294,0.113852210214857,180,779,0.231065468549422,177.0,0.983333333333333,3.0,0.016666666666667,35.3746469905019,15.1245248336365,2008
Montana,100543,741354,0.135620769564877,50,203,0.246305418719212,49.0,0.98,1.0,0.02,49.7299662830829,23.8759946380446,2008
Nebraska,147482,1329791,0.110906149913783,21,191,0.109947643979058,,0.0,,0.0,14.2390257794172,14.3786438232306,2008
Nevada,227277,1922260,0.118234265916161,131,528,0.248106060606061,,0.0,,0.0,57.6389163883719,23.4220638201091,2008
New Hampshire,121145,1021327,0.118615291674459,36,179,0.201117318435754,35.0,0.972222222222222,1.0,0.027777777777778,29.716455487226,15.8856764520952,2008
New Jersey,485053,6623050,0.073237103751293,77,615,0.12520325203252,75.0,0.974025974025974,2.0,0.025974025974026,15.8745539147268,8.76507433939769,2008
New Mexico,171725,1473640,0.116531174506664,80,419,0.190930787589499,76.0,0.95,4.0,0.05,46.5861115155044,26.0385662658468,2008
New York,1032622,15051925,0.068603982547083,224,1409,0.158977998580554,220.0,0.982142857142857,4.0,0.017857142857143,21.6923520901162,8.45263134693644,2008
North Carolina,746259,6879572,0.108474626037783,238,1162,0.204819277108434,232.0,0.974789915966386,6.0,0.025210084033613,31.8924126878202,15.0652673359406,2008
North Dakota**,54688,493281,0.110865814819545,14,86,0.162790697674419,13.0,0.928571428571429,1.0,0.071428571428571,25.5997659449971,16.4161306724002,2008
Ohio,926863,8740001,0.106048386035654,264,1412,0.186968838526912,259.0,0.981060606060606,5.0,0.018939393939394,28.4831738886977,14.6932000945075,2008
Oklahoma,316987,2713979,0.116797882371234,145,575,0.252173913043478,,0.0,,0.0,45.7432008252704,17.939150401837,2008
Oregon,349013,2919847,0.119531263110704,140,572,0.244755244755245,136.0,0.971428571428571,4.0,0.028571428571429,40.1131189955675,16.8038854317315,2008
Pennsylvania,1023082,9671561,0.105782510186308,333,1539,0.216374269005848,330.0,0.990990990990991,3.0,0.009009009009009,32.5487106605336,13.9446485329964,2008
Rhode Island,82464,815584,0.101110369992545,16,110,0.145454545454545,,0.0,,0.0,19.4024058983314,12.8219118288957,2008
South Carolina,391275,3375008,0.115933058529046,137,565,0.242477876106195,131.0,0.956204379562044,6.0,0.043795620437956,35.0137371413967,14.3444470399999,2008
South Dakota,70852,601688,0.117755381526638,20,124,0.161290322580645,,0.0,,0.0,28.2278552475583,19.5917383146584,2008
Tennessee,503323,4720255,0.10663046805734,176,973,0.180883864337102,173.0,0.982954545454545,3.0,0.017045454545454,34.967605295208,18.8999964903394,2008
